seq_num,add_order_id,add_side,add_price,add_qty,update_order_id,update_side,update_price,update_qty,delete_order_id,delete_side,trade_order_id,trade_side,trade_price,trade_qty,time
1627942268920677105,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:46.326346 UTC
1627942268920677107,7457972527799724204,SELL,229,300,,,,,,,,,,,2021-08-03 07:18:46.425752 UTC
1627942268920677109,7457972527799646585,SELL,228.99,1000,,,,,,,,,,,2021-08-03 07:18:51.393328 UTC
1627942268920677108,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:51.393309 UTC
1627942268920677110,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:51.612302 UTC
1627942268920677111,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:51.612324 UTC
1627942268920677113,,,,,,,,,7457972527799646584,BUY,,,,,2021-08-03 07:18:51.66662 UTC
1627942268920677112,,,,,,,,,7457972527799724204,SELL,,,,,2021-08-03 07:18:51.612438 UTC
1627942268920677114,7457972527799646584,BUY,228.82,1000,,,,,,,,,,,2021-08-03 07:18:51.666659 UTC
1627942268920677115,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:51.666699 UTC
1627942268920677116,7457972527799646585,SELL,229.02,1000,,,,,,,,,,,2021-08-03 07:18:51.666719 UTC
1627942268920677117,7457972527799724556,SELL,229,300,,,,,,,,,,,2021-08-03 07:18:51.767315 UTC
1627942268920677118,,,,,,,,,7457972527799646584,BUY,,,,,2021-08-03 07:18:51.935465 UTC
1627942268920677119,7457972527799646584,BUY,228.83,1000,,,,,,,,,,,2021-08-03 07:18:51.935513 UTC
1627942268920677120,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:51.947615 UTC
1627942268920677121,7457972527799646585,SELL,229.03,1000,,,,,,,,,,,2021-08-03 07:18:51.947635 UTC
1627942268920677122,,,,,,,,,7457972527799646584,BUY,,,,,2021-08-03 07:18:52.046471 UTC
1627942268920677123,7457972527799646584,BUY,228.84,1000,,,,,,,,,,,2021-08-03 07:18:52.046489 UTC
1627942268920677124,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:52.047761 UTC
1627942268920677125,7457972527799646585,SELL,229.02,1000,,,,,,,,,,,2021-08-03 07:18:52.04778 UTC
1627942268920677126,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:53.640896 UTC
1627942268920677127,7457972527799646585,SELL,229.03,1000,,,,,,,,,,,2021-08-03 07:18:53.640938 UTC
1627942268920677129,7457972527799646584,BUY,228.85,1000,,,,,,,,,,,2021-08-03 07:18:53.641036 UTC
1627942268920677128,,,,,,,,,7457972527799646584,BUY,,,,,2021-08-03 07:18:53.640994 UTC
1627942268920677130,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:53.641572 UTC
1627942268920677131,7457972527799646585,SELL,229.02,1000,,,,,,,,,,,2021-08-03 07:18:53.641592 UTC
1627942268920677132,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:53.642392 UTC
1627942268920677133,7457972527799646585,SELL,229.01,1000,,,,,,,,,,,2021-08-03 07:18:53.642412 UTC
1627942268920677134,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:53.642928 UTC
1627942268920677135,7457972527799646585,SELL,229.02,1000,,,,,,,,,,,2021-08-03 07:18:53.642948 UTC
1627942268920677136,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:53.755711 UTC
1627942268920677137,7457972527799646585,SELL,229.03,1000,,,,,,,,,,,2021-08-03 07:18:53.755731 UTC
1627942268920677138,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:54.298925 UTC
1627942268920677139,7457972527799646585,SELL,229.02,1000,,,,,,,,,,,2021-08-03 07:18:54.298945 UTC
1627942268920677140,,,,,,,,,7457972527799646585,SELL,,,,,2021-08-03 07:18:55.96611 UTC
1627942268920677141,7457972527799646585,SELL,229.03,1000,,,,,,,,,,,2021-08-03 07:18:55.966131 UTC
